10	11000000	12000000	10p14	gain
10	96000000	97000000	10q23	gain
11	102188181	102249401	BIRCs	loss
11	110000000	112000000	11q23	gain
11	18000000	19000000	11p15	gain
1	118148604	118171011	FAM46C	loss
1	154900000	155900000	1q21	gain
12	12000000	13000000	12p13	loss
12	80000000	81000000	12q21	gain
13	113691322	114303435	13q34	loss
13	48877883	48951170	RB1	loss
13	50602368	50737301	13q14	loss
14	103243816	103377837	TRAF3	loss
14	65000000	66000000	14q23	loss
1	51429159	51444913	CDKN2C	loss
15	40000000	41000000	15q15	gain
15	90000000	91000000	15q26	gain
16	20000000	21000000	16p12	gain
16	50775961	50835846	CYLD	loss
16	67000000	68000000	16q22	loss
17	21500000	22500000	17q23	gain
17	7494611	7644913	17p13	loss
17	7550000	7610000	TP53	loss
18	48000000	49000000	18q21	gain
18	9000000	10000000	18p11	gain
19	10000000	11000000	19p13	gain
1	93000000	94000000	1p22	loss
19	45000000	46000000	19q13	gain
20	13000000	14000000	20p12	gain
20	44000000	45000000	20q13	gain
2	136000000	137000000	2q22	gain
21	40500000	41500000	21q22	gain
21	27000000	28000000	21q21	gain
22	39000000	40000000	22q13	gain
2	25000000	26000000	2p23	gain
3	127000000	128000000	3q21	gain
3	40000000	41000000	3p22	gain
4	153000000	154000000	4q31	gain
4	25000000	26000000	4p15	gain
5	133000000	134000000	5q31	gain
5	14000000	15000000	5p15	gain
6	157000000	158000000	6q25	loss
6	24000000	25000000	6p22	gain
7	104500000	105500000	7q22	gain
7	30000000	31000000	7p14	gain
8	128000000	129000000	8q24	gain
8	128748315	128753680	MYC	gain
8	17000000	18000000	8p22	loss
9	123000000	124000000	9q33	gain
9	139780965	139821067	TRAF2	loss
9	34000000	35000000	9p13	gain
X	102000000	103000000	Xq22	loss
X	37000000	38000000	Xp11	loss
X	44732423	44971845	UTX	loss
